Title	Year	Length	Rating	Action/Animation/Comedy/Drama/Documentary/Romance
$	1971	121	NR	001100
$1000 a Touchdown	1939	71	NR	001000
$21 a Day Once a Month	1941	7	NR	010000
$40,000	1996	70	NR	001000
$50,000 Climax Show, The	1975	71	NR	000000
$pent	2000	91	NR	000100
$windle	2002	93	R	100100
'15'	2002	25	NR	000010
'38	1987	97	NR	000100
'49-'17	1917	61	NR	000000
'68	1988	99	NR	000100
'94 du bi dao zhi qing	1994	96	NR	000000
'?' Motorist, The	1906	10	NR	001000
'A'	1965	10	NR	000000
'A' gai waak	1983	106	PG-13	101000
'A' gai waak juk jaap	1987	101	PG-13	101000
'Breaker' Morant	1980	107	NR	000100
'Bullitt': Steve McQueen's Commitment to Reality	1968	10	NR	000010
'Crocodile' Dundee II	1988	110	NR	101000
'E'	1981	7	NR	011000
'El Chicko' - der Verdacht	1995	90	NR	001000
'G' Men	1935	85	NR	000100
'Gator Bait	1974	88	NR	100100
'Gator Bait II: Cajun Justice	1988	95	NR	000000
'High Sign', The	1921	18	NR	001000
'Hukkunud Alpinisti' hotell	1979	80	NR	000000
'Hyp-Nut-Tist', The	1935	6	NR	011000
'I Do...'	1989	86	NR	000000
'I Know Where I'm Going!'	1945	92	NR	000101
'Java Madness' formerly titled 'Coffee Madness'	1995	7	NR	001000
'Je vous salue, Marie'	1985	105	NR	000100
'Kaash'	1987	140	NR	000100
'M' Word	1996	99	NR	001001
'Mad' Boy, I'll Blow Your Blues Away. Be Mine	1997	19	NR	000000
'Manos' the Hands of Fate	1966	74	NR	000000
'Merci la vie'	1991	117	NR	000100
'Neath Brooklyn Bridge	1942	61	NR	001100
'Neath Canadian Skies	1946	41	NR	000000
'Neath the Arizona Skies	1934	52	NR	000000
'Night, Mother	1986	96	NR	000100
'O re	1989	90	NR	001000
'Pimpernel' Smith	1941	120	NR	000100
'R Xmas	2001	83	R	000100
'Round Midnight	1986	133	NR	000100
'Sheba, Baby'	1975	90	NR	100100
'Sugar Chile' Robinson, Billie Holiday, Count Basie and His Sextet	1951	15	NR	000000
'Teddy' Bears, The	1907	15	NR	010000
'Til There Was You	1997	113	PG-13	001001
'Til We Meet Again	1940	99	NR	000101
'What's Your 'I.Q.'?' Number Two	1940	9	NR	000010
'burbs, The	1989	101	NR	001000
(A)Torzija	2002	13	NR	000100
